time,unbiased,steered,coupled,TAMD
10.90000,-5.50181,-5.14541,-5.44255,-4.66766
11.00000,-5.49355,-5.25843,-5.39399,-4.87936
11.10000,-5.53449,-5.39415,-4.92973,-4.65455
11.20000,-5.00882,-5.27832,-5.00788,-4.73434
11.30000,-5.14135,-5.36592,-4.48085,-4.76674
11.40000,-5.06322,-5.47832,-4.89460,-4.86940
11.50000,-5.16451,-5.43724,-5.24672,-4.98072
11.60000,-5.22343,-5.42615,-5.37861,-4.82950
11.70000,-5.03584,-5.08930,-5.62774,-4.89116
11.80000,-4.83850,-4.79685,-5.86724,-4.93290
11.90000,-5.06748,-4.88612,-6.05258,-5.17789
12.00000,-5.12165,-4.93140,-6.07220,-5.51993
12.10000,-5.01080,-4.82221,-6.08422,-5.23818
12.20000,-5.00688,-4.93910,-5.92589,-5.08803
12.30000,-5.13171,-4.94520,-5.88707,-5.10850
12.40000,-5.33919,-4.80836,-6.05420,-5.27846
12.50000,-5.31932,-4.79362,-6.07374,-5.26330
12.60000,-5.43105,-4.94627,-5.71541,-5.58222
12.70000,-5.48410,-4.92940,-5.44974,-5.77013
12.80000,-5.28972,-4.75659,-5.15821,-5.52761
12.90000,-5.36275,-4.69434,-5.45654,-5.27381
13.00000,-5.15496,-4.59562,-5.22203,-5.18099
13.10000,-4.90798,-4.64308,-5.46045,-5.31577
13.20000,-5.11167,-4.59910,-5.34005,-5.19833
13.30000,-5.70671,-4.57604,-5.04067,-5.47699
13.40000,-5.67198,-4.43819,-4.77604,-5.79229
13.50000,-5.60889,-4.36593,-4.84520,-5.66579
13.60000,-5.68416,-4.24253,-5.01871,-5.47791
13.70000,-5.39344,-4.32241,-5.13238,-5.26109
13.80000,-5.26707,-4.50190,-5.12243,-5.03512
13.90000,-5.42191,-4.66757,-5.29845,-5.25962
14.00000,-5.28613,-4.81381,-5.30185,-5.10511
14.10000,-5.44053,-4.82002,-5.17904,-5.57946
14.20000,-5.42745,-4.69371,-5.17068,-5.73033
14.30000,-5.42341,-4.75586,-5.14775,-5.68947
